id,company,street,housenum,postalcode,city,country,notes,name,surname,surname_prefix,email,telephone,label,is_parent_of,is_child_of,roomType
3457,DoubleTree by Hilton Boston Logan Airport Chelsea,Everett Ave,201,MA 02150 ,Boston,US,,,,,,0016178842900,hotel,,,"3 course dinner, DDR 4hrs, DDR 8hrs, Executive Double Studio, King Room, Meeting room rental, Overnamekosten factuur  5%+BTW, Tax"
3459,Hilton Garden Inn Boston Canton,Royall Street,110,MA 02021 ,Canton Boston,US,,,,,,0017818283600,hotel,,,"3 course dinner, DDR 4hrs, DDR 8hrs, Executive Double Studio, King Room, Meeting room rental, Overnamekosten factuur  5%+BTW, Tax"
3462,Hotel Vie Via Leeuwarden,Nieuwstraatje,23,8911 KW,Leeuwarden,NL,"

	

Corporate tarief 2024 (corp2) Incl. breakfastdeal en 9% BTW, annuleerbaar
Small &euro; 110
Medium &euro; 115
Large &euro; 130

Boekingen kunnen per mail of telefonisch gedaan worden, krijgen 10% commissie op netto prijs.

LET OP MAILADRES GAST OF PA DOORGEVEN AAN HOTEL IVM DIGITALE SLEUTEL.

Matthijshofstede@hotmail.com
&nbsp;

",,,,hello@hotelviavia.nl,0582037133,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Overnamekosten factuur  5%+BTW"
3472,Canopy by Hilton Chicago Central Loop,West Jackson Blvd,226,IL 60606 ,Chicago,US,,,,,jamyra.freeman@hilton.com,0017738096750,hotel,,,"3 course dinner, DDR 4hrs, DDR 8hrs, Executive Double Studio, King Room, Meeting room rental, Overnamekosten factuur  5%+BTW, Tax"
3474,Intercontinental London - The O2,Waterview Drive Greenwich Peninsula,1,SE10 0TW,London,GB,,,,,info@iclondon-theo2.com,00440208463,hotel,,,"3 course dinner, City tax, King Classic Room, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, King Deluxe Room"
3478,avid hotels Cedar Rapids South - Arpt Area ,America Drive SW,645,52404,Cedar Rapids,US,,,,,info@avidcid.com,0013198263283,hotel,,,"3 course dinner, DDR 4hrs, DDR 8hrs, Executive Double Studio, King Room, Meeting room rental, Overnamekosten factuur  5%+BTW, Tax"
3480,Fletcher Hotel-Restaurant De Klepperman,Oosterdorpsstraat,11,3871AA,Hoevelaken,NL,,,,,info@hoteldeklepperman.nl,0332534120,hotel,,,"3 course dinner, City tax, Comfort Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3481,Miami International Airport Hotel,NW 20th St & LeJeune Rd Concourse E,,FL 33122, Miami,US,,,,,resv@miamiairporthotel.com,0013058714100,hotel,,,"3 course dinner, DDR 4hrs, DDR 8hrs, Executive Double Studio, Standard Queen Room, Meeting room rental, Overnamekosten factuur  5%+BTW, Tax"
3491,Internacional Design Hotel,Rua da Betesga,3,1100-090,Lissabon,PT,,,,,book@idesignhotel.com,00351213240990,hotel,,,"3 course dinner, City tax, Standard Double Room, exterior view, Standard Double Room, interior view, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3498,Flemings Selection Hotel Frankfurt-City,Eschenheimer Tor,2,60318 ,Frankfurt am Main,DE,,,,,reservation.fra.city@flemings-hotels.com,0049694272320,hotel,,,"3 course dinner, City tax, Superior KING Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3506,Novotel Brussels City Centre,Rue de la Vierge Noire ,32,1000,Brussels,BE,,,,,h2122@accor.com,003225055050,hotel,,,"3 course dinner, City tax, Superior Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3509,Aparthotel Adagio Parijs Opéra ,Rue Caumartin ,43,75009 ,Paris,FR,,,,,h6988@adagio-city.com,33158180820,hotel,,,"3 course dinner, City tax, Superior Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3511,Hampton by Hilton London City,Osborn Street,12-20,E16TE,London,GB,,,,,reservations@hamptonlondoncity.com,00442045129900,hotel,,,"3 course dinner, City tax, Queen Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3513,The Cumberland Hotel London,Great Cumberland Place,1,W1H 7DL,London,NL,,,,,stay@clermonthotel.group,004402075235063,hotel,,,"3 course dinner, City tax, Classic Single Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3514,NH Firenze,Piazza Vittorio Veneto,4/A,50123,Florence,IT,,,,,nhfirenze@nh-hotels.com,00390552770,hotel,,,"3 course dinner, City tax, Superior XL Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3516,DoubleTree by Hilton Amsterdam Centraal Station,Oosterdoksstraat,4,1011DK,Amsterdam,NL,,,,,,0031205300800,hotel,,,"3 course dinner, City tax, Queen Hilton Guest Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3518,Andaz Amsterdam Prinsengracht,Prinsengracht,587,1016HT,Amsterdam,NL,,,,,,00310205231234,hotel,,,"3 course dinner, City tax, Twin Garden Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3522,"Mandarin Oriental, Hong Kong",Connaught Road,5,,Central Hong Kong,HK,,,,,mohkg-reservations@mohg.com,0085225220111,hotel,,,"3 course dinner, City tax, City View King Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3524,Hilton Munich City,Rosenheimer Strasse,15,81667,,DE,,,,,bahar.oezkan@hilton.com,00498948040,hotel,,,"3 course dinner, City tax, KING Hilton Guestroom, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3525,La Villa Cannes Croisette,Traverse Alexandre III ,8,,Cannes,FR,,,,,contact@hotel-villa-cannes.com,0033493941221,hotel,,,"3 course dinner, City tax, Garden Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3528,The California Hotel,Belgrove Street,4,WC1H 8AB,London,GB,,,,,hello@thecalifornialondon.com,00442078377629,hotel,,,"3 course dinner, City tax, Large Double Room, DDR 4hrs, DDR 8hrs, Small Double Room, Twin Room, Overnamekosten factuur  5%+BTW"
3547, DoubleTree by Hilton London Docklands Riverside,Rotherhithe Street ,265a,SE16 5HW ,London,US,,,,,,00442072311001,hotel,,,"3 course dinner, City tax, Queen Guest room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3554,Villa Cora,Viale Machiavelli,18,50125,Firenze,IT,,,,,events@villacora.it,00390552287903,hotel,,,"3 course dinner, City tax, Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3560,Apex Grassmarket Hotel,Grassmarket,31-35,EH1 2HS ,Edinburgh,NL,,,,,edinburgh.reservations@apexhotels.co.uk,00448000498000,hotel,,,"3 course dinner, City tax, City Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3562,Kaiserhof,Karl-Friedrich-Straße,12,76133,Karlsruhe,DE,,,,,info@hotelkaiserhof-ka.de,0049072191700,hotel,,,"3 course dinner, City tax, Kaiser´s Doppelzimmer Classic, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3564,Hotel Indigo Hong Kong Island,Queen's Road East,246,Wanchai,Hong Kong,HK,,,,,info@hotelindigohk.com,0085239263888,hotel,,,"3 course dinner, City tax, Standard Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3565,Marunouchi Hotel,Marunochi,1-6-3,,"Chiyoda-ku, Tokyo",JP,,,,,info@marunouchi-hotel.co.jp,00810332171111,hotel,,,"3 course dinner, City tax, Standard Twin Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3568,Ramada by Wyndham Amsterdam Airport Schiphol ,Sloterweg,299,1171VB,Badhoevedorp,NL,,,,,ams01-reservation@ramada-amsterdam-airport.net,0031206588110,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW, Superior Double Room"
3574,"Capri by Fraser, China Square",South Bridge Road,181,058743,Singapore,CN,,,,,resvn.chinasquare@capribyfraser.com,006564370800,hotel,,,"3 course dinner, City tax, Superior Room King, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3576,UNAHOTELS Vittoria Firenze,Via Pisana,59,50143 ,Firenze,IT,,,,,hotel.vittoria@unahotels.it,003905522771,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW, Executive Double Room"
3579,Leonardo Royal Hotel London City,Cooper's Row,8-14,EC3N 2BQ ,London,US,,,,,londoncityreservations@leonardohotels.co.uk,00442078633700,hotel,,,"3 course dinner, City tax, Superior Room with Double Bed, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3585,Meliá Madrid Princesa,Calle de la Princesa,24, 28008,Madrid,ES,"

	

12% commissie

",,,,melia.madrid.princesa@melia.com,0034915418200,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW, MELIÁ Room Queen bed"
3586,Ibis Amsterdam Centre ,Stationsplein,49,1012 AB ,Amsterdam,NL,,,,,h1556@accor.com,00310207219172,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW, Double Room"
3587,St. George’s Club Hotel,Rose Hill,6,GE 05,St. George’s Bermuda,US,"

	

10% korting Carlos spreekt Nederlands

",,,,"info@stgeorgesclub.com, carlos.delgado@stgeorgesclub.com",0014412971200,hotel,,,
3597,Radisson Blu Hotel Bristol,Broad Quay,,BS1 4BY,Bristol,GB,,,,,info.bristol@radissonblu.com,00441179349500,hotel,,,"3 course dinner, City tax, Standard Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3598,Novotel Paris Centre Tour Eiffel,Quai de Grenelle ,61,75015,Paris,FR,,,,,h3546-re@accor.com,0033140582037,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Executive Double Room, Meeting room rental, Overnamekosten factuur  5%+BTW, Classic Double Room"
3600,Taxi St Job,,,,Rotterdam,NL,"

	

Deb nr: 121414 voor op rekening

",,,,info@st-job.nl,0104257000,hotel,,,
3601,Marriott Dallas Allen Hotel & Convention Center,Watters Creek Boulevard,777,75013,Texas,US,,,,,"chris.browell@marriottallan.com, lisa.ussery@marriottallen.com",0014696750800,hotel,,,"3 course dinner, DDR 4hrs, DDR 8hrs, Executive Double Studio, Queen Room, Meeting room rental, Overnamekosten factuur  5%+BTW, Tax"
3609,Luskin Conference Center and Hotel ,Westwood Plaza   ,425,CA 90095,Los Angeles,US,,,,,lcc@ha.ucla.edu,0018555228252,hotel,,,"3 course dinner, DDR 4hrs, DDR 8hrs, Executive Double Studio, Classic Double Queen Room, Meeting room rental, Overnamekosten factuur  5%+BTW, Tax"
3611,Boutique Hotel d'Oude Morsch,Park de Put,1,2312BM,Leiden,NL,,,,,info@hoteldeoudemorsch.nl,00310715690090,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Standard Deluxe Room, Standard Deluxe Room with bath, Superior Deluxe Room, Superior Room"
3614,Novotel Barcelona City,"Avenida Diagonal (Entrada por Ciutat de Granada),",201,HB004414,Barcelona,ES,,,,,h5560@accor.com,0034933262499,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Standard Room, Standard Deluxe Room with bath, Superior Deluxe Room, Superior Room"
3617,Van der Valk Hotel Eindhoven-Best,Eindhovenseweg-Zuid,144,5683PX,Best,NL,,,,,info@eindhovenbest.valk.nl,0031408000800,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Comfort Double Room, Superior Double Room"
3619,Hotel The Yard | Noordkade,Noordkade,1,5462EC,Veghel,NL,,,,,info@theyardhotel.nl,0031413783303,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Comfort Room, Cozy Room"
3622,Staycity apart hotel city centre Dublin ,Little Mary Street,,D07 PKW5,Dublin,IE,,,,,dublincitycentre.info@staycity.com,0035315567531,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Studio, Standard Deluxe Room with bath, Superior Deluxe Room, Superior Room"
3623,25hours Hotel The Royal Bavarian,Bahnhofsplatz,1,80335,Munchen,DE,,,,,rec.royalbavarian@25hours-hotels.com,0049899040010,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Medium Room"
3626,Best Western Plus Oslo Airport,Ravinevegen,11,2060,Gardermoen,NO,,,,,booking@bwosloairport.com,00463940800,hotel,,,"3 course dinner, City tax, Standard Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3627,Hotel Sallés Pere IV,Pallars,128-130,08018,Barcelona,ES,,,,,reservaspiv@salleshotels.es,0034933209650,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Double Deluxe Room, Standard Deluxe Room with bath, Superior Deluxe Room, Superior Room"
3630,The Spires Serviced Apartments Edinburgh,Hanover Street,93-95,EH2 1DJ,Edinburgh,GB,,,,,book@thespires.co.uk,00443452700090,hotel,,,"3 course dinner, City tax, 2 Bedroom Apartment, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3639,Holiday Inn Express Cedar Rapids – Collins Rd ,Collins Road NE,1230,52402,Cedar Rapids,US,,,,,crfdhi@nhshotels.com,0013192949407,hotel,,,"3 course dinner, DDR 4hrs, DDR 8hrs, Executive Double Studio, King Bed  standard Room, Meeting room rental, Overnamekosten factuur  5%+BTW, Tax"
3646,Holiday Inn Express Amsterdam - City Hall,Valkenburgerstraat,14,1011 LZ,Amsterdam,NL,,,,,reservations.amsterdamch@hiex-hotels.nl,31202156110,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Standard Room, Standard Deluxe Room with bath, Superior Deluxe Room, Superior Room"
3649,Leonardo hotels,,,,,NL,,Marije,Visser,,marije.visser@leonardo-hotels.nl,00310620800028,hotel,,,
3650,The Godfrey Hotel Boston,Washington Street,505,MA 02111,Boston,US,,,,,guestservices@godfreyhotelboston.com,0016178042000,hotel,,,"3 course dinner, DDR 4hrs, DDR 8hrs, Executive Double Studio, Standard King Room, Meeting room rental, Overnamekosten factuur  5%+BTW, Tax"
3658,Pillows Grand Boutique Hotel Maurits at the Park,Mauritskade,61,1092AD,Amsterdam,NL,"

	

Groups &amp; Events Executive

Comm: 12% netto eindfactuur excl. diensten van derden

",Sarah ,Megawe,,events.amsterdam@pillowshotels.com,0031208020207,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Luxury Room"
3661,J&K catering,Lorentzstraat,89,2665 JG,Bleiswijk,NL,"

	

10% comm netto eind factuur

",Emma,Evera,,info@jenkcatering.nl,"0105219764, 0645444466",hotel,,,
3663,Radisson Blu Royal Hotel Helsinki,Runeberginkatu,2,00100,Helsinki,,,,,,info.royal.helsinki@radissonblu.com,00358201234701,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Standard twin Room, Standard Deluxe Room with bath, Superior Deluxe Room, Superior Room"
3665,Hotel Slot Oostende,Singelstraat,5,4461 HZ,Goes,NL,,,,,hotel@slotoostende.nl,0614562981,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Suite 01, Standard Deluxe Room with bath, Superior Deluxe Room, Superior Room"
3666,TÓTEM Madrid,Hermosilla,23,28001,Madrid,ES,,,,,reservas@totem-madrid.com,0034914260035,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Deluxe exterior Room"
3667,INNSiDE by Melia Luxembourg,Rue Henri M. Schnadt,12,2530,Luxembourg,LU,,,,,innside.luxembourg@melia.com,003522884531,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, The Innside Room, The Townhouse"
3670,The Cadogan,Sloane St,75,SW1X 9SG,London,GB,,,,,reservations.cad@belmond.com,00442070487141,hotel,,,"3 course dinner, City tax, Superior Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3671,,,,,,NL,"Account Director
Specialist Sales Support Office UK & Ireland",Catherine ,Merlini,,catherine.merlini@hilton.com,00447800912753,hotel,,,
3674,Hilton Garden Inn Cedar Rapids,North River Blvd NE ,4640,IA 52411 ,Cedar rapids,US,,,,,,0013193787404,hotel,,,"3 course dinner, DDR 4hrs, DDR 8hrs, Executive Double Studio, King Room, Meeting room rental, Overnamekosten factuur  5%+BTW, Tax"
3677,Hyatt Paris Madeleine,Boulevard Malesherbes,24,IF 75008,Paris,FR,,,,,paris.madeleine@hyatt.com,0033155271234,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, King Premium Room, Superior Deluxe Room"
3678,Crowne Plaza Utrecht - Central Station,Catharijne Esplanade,13,3511WK,Utrecht,NL,,,,,info@cputrecht.nl,0031302377100,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Standard KING Room"
3681,Holiday Inn Express Birmingham - City Centre,Holliday Street,19,B1 1HH,Birmingham,GB,,,,,rooms@hiebirminghamcity.com,00441215161990,hotel,,,"3 course dinner, City tax, Standard Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3684,The President Brussels Hotel,Boulevard du Roi Albert II,44,1000,Brussels,BE,,,,,info@presidentbrusselshotel.be,003222032020,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Double Queen Standard, Superior Deluxe Room"
3687,Doubletree by Hilton Madrid Prado,C/ San Agustín,3,28014,Madrid,ES,,,,,madridprado@hilton.com,0034913600820,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Hilton Double Guest Room, Hilton Double Guest Room, excluding breakfast"
3690,Kade 4 / Stockholm / Matelief,Spaansekade,4,3011 ML,Rotterdam,NL,"

	

Eigenaar Hans

10% netto eindfactuur

",Hans,Meijer,,hans@kade4.nl,0108426571,hotel,,,
3691,Leonardo Royal Hotel London Tower Bridge,Prescot St,45,E1 8GP,London,GB,,,,,towerbridge_guestrelations@leonardohotels.co.uk,00442079595000,hotel,,,"3 course dinner, City tax, Superior Room King Bed, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3698,Le Méridien Etoile, Boulevard Gouvion Saint-Cyr,81,75017,Paris,FR,,,,,guest.etoile@lemeridien.com,0033140683434,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Urban, Guest room, King, Superior Deluxe Room"
3702,De Mansarde B&B,Badhuisweg,40,7314 EE,Apeldoorn,NL,,,,,info@demansarde.nl,0031613533682,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Garden Room, Superior Deluxe Room"
3704,Renaissance New York Harlem Hotel,West 125th Street,233,10027,New York,US,,,,,,0013322668722,hotel,,,"3 course dinner, DDR 4hrs, DDR 8hrs, Executive Double Studio, King Room, Meeting room rental, Overnamekosten factuur  5%+BTW, Tax"
3710,Apex City of London Hotel,Seething Lane,1,EC3N 4AX ,London,GB,,,,,london.reservations@apexhotels.co.uk,00448000498000,hotel,,,"3 course dinner, City tax, Superior King Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3711,Barlow Bar & Restaurant,Plein,15-16,2511 CR,Den Haag,NL,10% commissie eindfactuur,Susanne,Drenth,,info@barlowdenhaag.nl,0031703923655,hotel,,,
3712,Holiday Inn Munich - City Centre,Hochstrasse,3,81669,Munich,DE,,,,,reservation@himunich.com,00498948030,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, 1 King Bed Room New Design"
3713,Grand Hotel Karel V,Geertebolwerk,1,3511 XA,Utrecht,NL,"Geen commissie, ben in afwachting van gesprek met sales manager",,,,reservations@karelv.nl,0031302337461,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Comfort double Room, with balcony, Superior Deluxe Room, Comfort TWIN Room"
3716,Palace Hotel Zandvoort,Burgemeester van Fenemaplein,2,2042 TA,Zandvoort,NL,"

	

10% comm

",,,,rene.vanwielink@palace-hotel.nl,0031235712911,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Standard Room, Superior Deluxe Room"
3719,Sorell Hotel Seefeld,Seefeldstrasse ,63,8008,Zürich,CH,"Central Reservations Sorell Hotels Swiss
Commissie als korting bij boekingen via de telefoon",Lisa Maria,Moser,,reservation@sorellhotels.com,0041443884326,hotel,,,"3 course dinner, City tax, Standard Queen Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3722,DoubleTree by Hilton Grand Hotel Biscayne Bay,North Bayshore Drive ,1717,FL 33132-1180,Miami,US,Revenue Coordinator,Ana,Zepeda,,ana.zepeda2@hilton.com,0013053720313,hotel,,,"3 course dinner, DDR 4hrs, DDR 8hrs, Executive Double Studio, Junior Suite Parkview with balcony, Meeting room rental, Overnamekosten factuur  5%+BTW, Tax"
3723,Clarion Hotel Helsinki,Tyynenmerenkatu,2,00220,Helsinki,,,,,,reservations.cl.helsinki@strawberry.fi,00358934174551,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Standard Double Room, Superior Deluxe Room"
3727,Millers Den Haag,Plein,10,2511 CR,Den Haag,NL,,,,,sales@millersdenhaag.nl,0703629043,hotel,,,
3728,SOM Horeca,,,,,NL,"

	

+3170 361 4754 (restaurant) +3170 219 5080 (sales) &#39;info@somhoreca.nl&#39;
&nbsp;Burrata Goudenregenplein,&nbsp;Burrata Kortenaerkade,&nbsp;Burrata&nbsp;Turfmarkt,&nbsp;De Tijd Bar &amp; Grill,&nbsp;Eetcaf&eacute; CLOOS,&nbsp;Haagsche Bier Kluis,&nbsp;Hudson Beach,&nbsp;Millers,&nbsp;Millers Beach,&nbsp;Seafoodbar 19&nbsp;en&nbsp;Xieje.

",,,,info@somhoreca.nl,0702195080,hotel,"1790, 1790",,
3731,196 Bishopsgate Serviced Apartments ,Bishopsgate,196,EC2M 4NR,London,GB,,,,,reservations@196bishopsgate.com,00442078710460,hotel,,,"3 course dinner, City tax, Executive Studio, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3736,Newark Liberty International Airport Marriott,Road Newark ,1,07114,New Jersey,US,,,,,,0019736230006,hotel,,,"3 course dinner, DDR 4hrs, DDR 8hrs, Executive Double Studio, King Bed, Airport View, Meeting room rental, Overnamekosten factuur  5%+BTW, Tax"
3740,Hotel Vila Galé Paulista,Rua Bela Cintra,952,E956,São Paulo,BR,,,,,paulista@vilagale.com,00558534864413,hotel,,,"3 course dinner, City tax, Superior Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3743,Eetcafé het Leven,Druifstreek,57-59,8911LH,Leeuwarden,NL,Eigenaar,Wouter,van Uffelen,,info@eetcafehetleven.nl,0031640400639,hotel,,,
3744,City Hotel Tilburg,Heuvelring,128,5038 CL,Tilburg,NL,,,,,info@cityhoteltilburg.nl,310135351355,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Standard Room, Superior Deluxe Room"
3747,Cityden Zuidas,Prof. J.H. Bavincklaan,3,1183 AT  ,Amstelveen,NL,"

	

per mail 10% commissie



",,,,"zuidas@cityden.com, reservations@cityden.com",00310203080600,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Studio XL, Superior Deluxe Room"
3752,"100 Queen's Gate Hotel London, Curio Collection by Hilton",Queen's Gate,100,SW7 5AG ,London,GB,,,,,,00442073737878,hotel,,,"3 course dinner, City tax, Atrium Luxery Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3759,Hotel SB Diagonal Zero ,Plaza Llevant,s/n,08019,Barcelona,ES,,,,,reservations.zero@sbhotels.es,0034935078000,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Deluxe Double Room, Superior Deluxe Room"
3767,"Radisson Blu Hotel & Conference Center, Oslo Alna",Tevlingveien ,21,N 1081,Oslo,NO,,,,,,004723287700,hotel,,,"3 course dinner, City tax, Standard King Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3771,Hotel de Leijhof Oisterwijk,Heusdensebaan,7,5061 PM ,Oisterwijk,NL,,,,,info@leijhof.nl,0135231123,hotel,,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Meeting room rental, Overnamekosten factuur  5%+BTW, Sensation Suite, Superior Deluxe Room"
3777,Premier inn Edinburgh City Centre (Waverley),Rose Street,24,EH2 2QA,Edinburgh,GB,,,,,,00443330038101,hotel,,,"3 course dinner, City tax, Double Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
3778,Hilton London Paddington,Praed Street,146,W2 1EE ,London,GB,,,,,"reservation.paddington@hilton.com, sabah.zahid@hilton.com",00442078500500,hotel,,,"3 course dinner, City tax, Double Hilton Guest Room, DDR 4hrs, DDR 8hrs, Executive Double Studio, Meeting room rental, Overnamekosten factuur  5%+BTW"
